AL,4817528
AK,730307
AZ,6551149
AR,2949828
CA,37999878
CO,5189458
CT,3591765
DE,917053
DC,633427
FL,19320749
GA,9915646
HI,1390090
ID,1595590
IL,12868192
IN,6537782
IA,3075039
KS,2885398
KY,4379730
LA,4602134
ME,1328501
MD,5884868
MA,6645303
MI,9882519
MN,5379646
MS,2986450
MO,6024522
MT,1005494
NE,1855350
NV,2754354
NH,1321617
NJ,8867749
NM,2083540
NY,19576125
NC,9748364
ND,701345
OH,11553031
OK,3815780
OR,3899801
PA,12764475
RI,1050304
SC,4723417
SD,834047
TN,6454914
TX,26060796
UT,2854871
VT,625953
VA,8186628
WA,6895318
WV,1856680
WI,5724554
WY,576626
PR,3651545
